Image,h5_fooled,nit_h5,h5_wprediction,h5_to_tflite,h5_to_tflite_wprediction,h5_to_axc,h5_to_axc_wprediction,tflite_fooled,nit_tflite,tflite_wprediction,tflite_to_axc,tflite_to_axc_wprediction,axc_fooled,nit_axc,axc_wprediction,axc_to_h5_back
7270,True,3,0.9985267,False,0,False,0,True,1,0.79296875,True,0.321582754154048,False,1,0,False
7272,False,1,0,False,0,False,0,False,1,0,False,0,False,1,0,False
7273,False,1,0,False,0,False,0,False,1,0,False,0,False,1,0,False
7275,False,1,0,False,0,False,0,False,1,0,False,0,False,1,0,False
7276,False,1,0,False,0,False,0,False,1,0,False,0,False,1,0,False
7277,False,1,0,False,0,False,0,False,1,0,False,0,False,1,0,False
7278,True,1,0.99418086,False,0,False,0,True,2,0.78515625,False,0,False,1,0,False
7279,False,1,0,False,0,False,0,False,1,0,False,0,False,1,0,False
7280,False,1,0,False,0,False,0,False,1,0,False,0,False,1,0,False
7281,True,1,0.98973864,False,0,False,0,False,1,0,False,0,False,1,0,False
7282,False,1,0,False,0,False,0,False,1,0,False,0,False,1,0,False
7283,True,1,0.9981146,True,0.81640625,False,0,True,1,0.99609375,True,0.5169486243909799,True,1,0.5169486243909799,True
7286,True,1,0.99703074,True,0.84765625,False,0,True,1,0.96875,False,0,False,1,0,False
7289,True,1,0.99999666,False,0,False,0,False,1,0,False,0,False,1,0,False
7290,True,1,0.8271812,False,0,False,0,False,1,0,False,0,False,1,0,False
7291,True,1,0.9593627,False,0,False,0,False,1,0,False,0,False,1,0,False
7292,True,1,0.9470109,False,0,False,0,True,1,0.73828125,True,0.4661703906889507,True,97,0.4661703906889507,True
7293,True,1,0.999572,False,0,False,0,False,1,0,False,0,False,1,0,False
7294,True,1,0.97372174,True,0.44140625,False,0,True,1,0.95703125,True,0.2765855557885571,True,97,0.2765855557885571,True
7295,True,1,0.9972367,True,0.73828125,False,0,True,1,0.99609375,False,0,False,1,0,False
7296,True,1,0.9999759,True,0.703125,False,0,True,1,0.96875,True,0.46961809647712316,False,1,0,False
7297,True,9,0.7027712,True,0.5,False,0,True,1,0.98828125,True,0.6183084291931763,True,4,0.6183084291931763,False
7298,True,1,0.90179926,False,0,False,0,False,1,0,False,0,False,1,0,False
7299,True,1,0.8793516,False,0,True,0.3871212583072578,True,1,0.72265625,False,0,False,97,0,False
7300,True,6,0.7749083,False,0,False,0,True,2,0.82421875,False,0,False,1,0,False
7301,True,1,0.9705084,False,0,False,0,False,1,0,False,0,False,1,0,False
7302,True,1,0.9789409,False,0,False,0,False,1,0,False,0,False,1,0,False
7303,True,1,0.9998983,False,0,False,0,True,1,0.9765625,True,0.5317960723474855,True,35,0.5317960723474855,True
7304,True,1,0.9478064,False,0,False,0,False,1,0,False,0,False,1,0,False
7305,True,1,0.9869287,False,0,False,0,True,1,0.7265625,False,0,False,97,0,False
7306,True,1,0.9446407,False,0,False,0,True,1,0.87109375,True,0.26581976450678524,True,97,0.26581976450678524,True
7307,True,14,0.828673,False,0,False,0,False,1,0,False,0,False,1,0,False
